size,algorithm,avg_ms,avg_expansions,success
100,BFS,2.065,7506.00,ok
100,DFS,0.317,323.00,ok
100,A*,2.474,2443.00,ok
200,BFS,9.234,29716.00,ok
200,DFS,0.708,584.00,ok
200,A*,11.841,11469.00,ok
400,BFS,35.554,119503.00,ok
400,DFS,2.312,1431.00,ok
400,A*,15.724,12439.00,ok
